,,,,,,
,,,,,,
Группа проверок,Название проверки,Проверка,Приоритет,Отметка о прохождении теста,Мои комментарии и вопросы,Комментарии руководителя
,,В календаре Publication date возможно переключение между месяцами с помощью стрелок,Высокий,Пройден,,
,,В календаре Publication date  возможно выбрать год с помощью прокрутки.,Высокий,Пройден,,
,,В календаре Publication date  возможно выбрать число месяца кликнув по нужному числу,Высокий,Пройден,,
,,"В календаре  выбранная дата сохраняется после нажатия кнопки ""Ок"". В поле Publication date  выбранная дата отображается в корректном формате dd.mm.yyyy",Высокий,Пройден,,
,,Выбор времени публикации новости в календаре,,,,
,,При нажатии на поле Tme  открывается интерфейс с аналоговым интерфейсом (круглыми часами) и возможностью выбора времени через цифровой ввод (клавиатура) ,,,,
,,Выбор времени через аналоговый интерфейс (круглые часы),,,,
,,"Выбор часа: При вращении круга или нажатии на цифру часа выбранное значение выделяется.
После выбора часа интерфейс автоматически переключается на выбор минут. В верхней панели отображается выбранное значение часа.",,,,
,,Выбор минуты: При вращении круга или нажатии на цифру минут выбранное значение выделяется..  В верхней панели отображается выбранное значение минут и раннее выбранного часа.,,,,
,,После нажатия кнопки Ок выбранное время  сохраняется и отображается в корректном формате hh mm в поле Time,,,,
,,Форма выбора времени закрывается при нажатии кнопки Cancel. Поле Tme остаётся без изменений,,,,
,,Выбор времени через цифровой ввод (клавиатура),,,,
,,Кликнуть по кнопке со значком клавиатуры (в нижнем левом углу аналгового интерфейса): открывается поле для ввода времени,,,,
,,При нажатии на поле для ввода времени открывается цифровая клавиатура ,,,,
,,При введении значения часа в 24-часовом формате поле принимает значение,,,,
,,При введении минут в диапазоне 00-59 поле принимает значение ,,,,
,,После нажатия кнопки Ок выбранное время  сохраняется и отображается в корректном формате hh mm в поле Time,,,,
,,Форма выбора времени закрывается при нажатии кнопки Cancel. Поле Tme остаётся без изменений.,,,,
,,Description,,,,
,,При нажатии на поле ввода текста открывается системная клавиатура ,Высокий,Пройден,,
,,"Возможен ввод текста на разных языках (латиница, кириллица), возможен ввод цифр и спецсимволов  в поле Description",Высокий,Пройден,,
,,Сохранение новости,,,,
,,При нажатии кнопки Save новость сохраняется,Высокий,,,
,,При достижении заданного времени новость отображается на странице News,Высокий,,,
,,Переключение между активным/не активным режимом,,,,
,,Кнопка активации публикации новости - переключение междк режимами Active / not Acnive  при перемещении бегунка происходит смена режима. ,Высокий,Не пройден," Кнопка в положении Active, бледная, не перемещается. Это баг или так и должно быть на странице Creating News? При этом на странице редактирования новостей Editing News эта кнопка работает.",
,,Кнопка в положении Acnive - новость отображается на странице News,Высокий ,Не пройден,,
,,Кнопка в положении Not  acnive - новость не отображается на странице News,Высокий,Не пройден,,
,,Отмена создания новости,,,,
,,"При нажатии кнопки Cancel открывается диалоговое окно с текстом "" The changes won't be saved? do you really want to log out?"". Диалог содержит две кнопки Cancel и OK",Высокий ,Пройден,,
,,"При нажатии кнопки Cancel в диалоге,  диалог закрывается, пользователь возвращается на страницу Creating News",Высокий ,Пройден,,
,,"При нажатии кнопки Ok в диалоге,  диалог закрывается, пользователь переходит на страницу управления Control  Panel",Высокий ,Пройден,,
,Редактирование/удаление новостей,Редактирование новости на странице Control Panel,,,,
,,На странице Control panel для редактирования новоси кликнуть  по значку редактирования (квадрат с карандашом). Откроется окно редактирования новости Edition News ,Высокий ,Пройден,,
,,,,,,
,,,,,,
,,,,,,
Навигация по Странице цитат Love is all,Просмотр списка цитат ,На верхней панели приложения нажать иконку с бабочкой - откроется вывыпадающий список с карточками цитат,Высокий ,Пройден,,
,Чтение выбранной цитаты,"При нажатии на карточку цитаты, карточка раскрывается, появляется полный текст цитаты",Высокий ,Пройден,,
,Закрытие раскрытой цитаты,"При нажатии на карточку с раскрытой цитатой полный текст цитаты  скрывается, карточка возврацается в сврнутое состояние ",Высокий ,Пройден,,
